name,texto,cluster_textclass
Green Slime,"FlashWhen Green Slime enters the battlefield, counter target activated or triggered ability from an artifact or enchantment source. If a permanent’s ability is countered this way, destroy that permanent.Foretell {G} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",237
Tlincalli Hunter // Retrieve Prey,"TrampleOnce each turn, you may pay {0} rather than pay the mana cost for a creature spell you cast from exile.",439
Captain N'ghathrod,"Horrors you control have menace.Whenever a Horror you control deals combat damage to a player, that player mills that many cards.At the beginning of your end step, choose target artifact or creature card in an opponent’s graveyard that was put there from their library this turn. Put it onto the battlefield under your control.",70
"Faldorn, Dread Wolf Herald","Whenever you cast a spell from exile or a land enters the battlefield under your control from exile, create a 2/2 green Wolf creature token.{1}, {T}, Discard a card: Exile the top card of your library. You may play it this turn.",69
"Firkraag, Cunning Instigator","Flying, hasteWhenever one or more Dragons you control attack an opponent, goad target creature that player controls.Whenever a creature deals combat damage to one of your opponents, if that creature had to attack this combat, you put a +1/+1 counter on Firkraag, Cunning Instigator and you draw a card.",46
Nalia de'Arnise,"You may look at the top card of your library any time.You may cast Cleric, Rogue, Warrior, and Wizard spells from the top of your library.At the beginning of combat on your turn, if you have a full party, put a +1/+1 counter on each creature you control and those creatures gain deathtouch until end of turn.",96
Bygone Bishop,"FlyingWhenever you cast a creature spell with mana value 3 or less, investigate. (Create a Clue token. It’s an artifact with “{2}, Sacrifice this artifact: Draw a card.”)",221
Galepowder Mage,"FlyingWhenever Galepowder Mage attacks, exile another target creature. Return that card to the battlefield under its owner’s control at the beginning of the next end step.",520
Glorious Protector,"FlashFlyingWhen Glorious Protector enters the battlefield, you may exile any number of non-Angel creatures you control until Glorious Protector leaves the battlefield.Foretell {2}{W}",365
Irregular Cohort,"Changeling (This card is every creature type.)When Irregular Cohort enters the battlefield, create a 2/2 colorless Shapeshifter creature token with changeling.",527
Mage's Attendant,"When Mage’s Attendant enters the battlefield, create a 1/1 blue Wizard creature token with “{1}, Sacrifice this creature: Counter target noncreature spell unless its controller pays {1}.”",167
Mother of Runes,{T}: Target creature you control gains protection from the color of your choice until end of turn.,182
Order of Whiteclay,"{1}{W}{W}, {Q}: Return target creature card with mana value 3 or less from your graveyard to the battlefield. ({Q} is the untap symbol.)",71
Rumor Gatherer,"Alliance — Whenever another creature enters the battlefield under your control, scry 1. If this is the second time this ability has resolved this turn, draw a card instead.",103
Selfless Spirit,FlyingSacrifice Selfless Spirit: Creatures you control gain indestructible until end of turn.,376
Squad Commander,"When Squad Commander enters the battlefield, create a 1/1 white Kor Warrior creature token for each creature in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)At the beginning of combat on your turn, if you have a full party, creatures you control get +1/+0 and gain indestructible until end of turn.",268
Valiant Changeling,This spell costs {1} less to cast for each creature type among creatures you control. This effect can’t reduce the amount of mana this spell costs by more than {5}.Changeling (This card is every creature type.)Double strike,128
Angler Turtle,HexproofCreatures your opponents control attack each combat if able.,122
Forgotten Creation,"Skulk (This creature can’t be blocked by creatures with greater power.)At the beginning of your upkeep, you may discard all the cards in your hand. If you do, draw that many cards.",516
Hullbreaker Horror,"FlashThis spell can’t be countered.Whenever you cast a spell, choose up to one —• Return target spell you don’t control to its owner’s hand.• Return target nonland permanent to its owner’s hand.",237
Overcharged Amalgam,"FlashFlyingExploit (When this creature enters the battlefield, you may sacrifice a creature.)When Overcharged Amalgam exploits a creature, counter target spell, activated ability, or triggered ability.",373
Pursued Whale,"When Pursued Whale enters the battlefield, each opponent creates a 1/1 red Pirate creature token with “This creature can’t block” and “Creatures you control attack each combat if able.”Spells your opponents cast that target Pursued Whale cost {3} more to cast.",124
Sludge Monster,"Whenever Sludge Monster enters the battlefield or attacks, put a slime counter on up to one other target creature.Non-Horror creatures with slime counters on them lose all abilities and have base power and toughness 2/2.",26
Wharf Infiltrator,"Skulk (This creature can’t be blocked by creatures with greater power.)Whenever Wharf Infiltrator deals combat damage to a player, you may draw a card. If you do, discard a card.Whenever you discard a creature card, you may pay {2}. If you do, create a 3/2 colorless Eldrazi Horror creature token.",516
Bloodsoaked Champion,Bloodsoaked Champion can’t block.Raid — {1}{B}: Return Bloodsoaked Champion from your graveyard to the battlefield. Activate only if you attacked this turn.,459
Calculating Lich,"MenaceWhenever a creature attacks one of your opponents, that player loses 1 life.",48
Changeling Outcast,Changeling (This card is every creature type.)Changeling Outcast can’t block and can’t be blocked.,307
Dark Hatchling,"FlyingWhen Dark Hatchling enters the battlefield, destroy target nonblack creature. It can’t be regenerated.",335
Dauthi Horror,Shadow (This creature can block or be blocked by only creatures with shadow.)Dauthi Horror can’t be blocked by white creatures.,51
Dire Fleet Ravager,"Menace, deathtouchWhen Dire Fleet Ravager enters the battlefield, each player loses a third of their life, rounded up.",460
Dross Harvester,"Protection from whiteAt the beginning of your end step, you lose 4 life.Whenever a creature dies, you gain 2 life.",414
Dusk Mangler,"As an additional cost to cast this spell, sacrifice a creature, discard a card, or pay 4 life.When Dusk Mangler enters the battlefield, each opponent sacrifices a creature, discards a card, and loses 4 life.",347
Hunted Horror,"TrampleWhen Hunted Horror enters the battlefield, target opponent creates two 3/3 green Centaur creature tokens with protection from black.",5
Malakir Blood-Priest,"When Malakir Blood-Priest enters the battlefield, each opponent loses X life and you gain X life, where X is the number of creatures in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)",78
Mardu Strike Leader,"Whenever Mardu Strike Leader attacks, create a 2/1 black Warrior creature token.Dash {3}{B} (You may cast this spell for its dash cost. If you do, it gains haste, and it’s returned from the battlefield to its owner’s hand at the beginning of the next end step.)",359
Nihilith,"Fear (This creature can’t be blocked except by artifact creatures and/or black creatures.)Suspend 7—{1}{B} (Rather than cast this card from your hand, you may pay {1}{B} and exile it with seven time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost. It has haste.)Whenever a card is put into an opponent’s graveyard from anywhere, if Nihilith is suspended, you may remove a time counter from Nihilith.",123
Plague Spitter,"At the beginning of your upkeep, Plague Spitter deals 1 damage to each creature and each player.When Plague Spitter dies, it deals 1 damage to each creature and each player.",355
Woe Strider,"When Woe Strider enters the battlefield, create a 0/1 white Goat creature token.Sacrifice another creature: Scry 1.Escape—{3}{B}{B}, Exile four other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)Woe Strider escapes with two +1/+1 counters on it.",323
Aurora Phoenix,"FlyingCascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)Whenever you cast a spell with cascade, return Aurora Phoenix from your graveyard to your hand.",117
Avatar of Slaughter,All creatures have double strike and attack each combat if able.,479
Bonecrusher Giant // Stomp,"Whenever Bonecrusher Giant becomes the target of a spell, Bonecrusher Giant deals 2 damage to that spell’s controller.",243
Brash Taunter,"IndestructibleWhenever Brash Taunter is dealt damage, it deals that much damage to target opponent.{2}{R}, {T}: Brash Taunter fights another target creature.",376
"Drakuseth, Maw of Flames","FlyingWhenever Drakuseth, Maw of Flames attacks, it deals 4 damage to any target and 3 damage to each of up to two other targets.",383
Embereth Shieldbreaker // Battle Display,Destroy target artifact. (Then exile this card. You may cast the creature later from exile.),377
Geode Rager,"First strikeLandfall — Whenever a land enters the battlefield under your control, goad each creature target player controls. (Until your next turn, those creatures attack each combat if able and attack a player other than you if able.)",412
Thunder Dragon,"FlyingWhen Thunder Dragon enters the battlefield, it deals 3 damage to each creature without flying.",383
Urabrask the Hidden,Creatures you control have haste.Creatures your opponents control enter the battlefield tapped.,98
Arasta of the Endless Web,"ReachWhenever an opponent casts an instant or sorcery spell, create a 1/2 green Spider creature token with reach.",164
Battle Mammoth,"TrampleWhenever a permanent you control becomes the target of a spell or ability an opponent controls, you may draw a card.Foretell {2}{G}{G} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",5
End-Raze Forerunners,"Vigilance, trample, hasteWhen End-Raze Forerunners enters the battlefield, other creatures you control get +2/+2 and gain vigilance and trample until end of turn.",39
Lovestruck Beast // Heart's Desire,Lovestruck Beast can’t attack unless you control a 1/1 creature.,246
Sweet-Gum Recluse,"FlashCascadeReachWhen Sweet-Gum Recluse enters the battlefield, put three +1/+1 counters on each of any number of target creatures that entered the battlefield this turn.",349
"Grumgully, the Generous",Each other non-Human creature you control enters the battlefield with an additional +1/+1 counter on it.,431
"Niv-Mizzet, Parun","This spell can’t be countered.FlyingWhenever you draw a card, Niv-Mizzet, Parun deals 1 damage to any target.Whenever a player casts an instant or sorcery spell, you draw a card.",298
Sprite Dragon,"Flying, hasteWhenever you cast a noncreature spell, put a +1/+1 counter on Sprite Dragon.",46
Stuffy Doll,"IndestructibleAs Stuffy Doll enters the battlefield, choose a player.Whenever Stuffy Doll is dealt damage, it deals that much damage to the chosen player.{T}: Stuffy Doll deals 1 damage to itself.",376
"Diaochan, Artful Beauty","{T}: Destroy target creature of your choice, then destroy target creature of an opponent’s choice. Activate only during your turn, before attackers are declared.",136
Dragonlair Spider,"ReachWhenever an opponent casts a spell, create a 1/1 green Insect creature token.",530
Loyal Retainers,"Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate only during your turn, before attackers are declared.",418
Maelstrom Wanderer,"Creatures you control have haste.Cascade, cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order. Then do it again.)",98
"Damia, Sage of Stone","DeathtouchSkip your draw step.At the beginning of your upkeep, if you have fewer than seven cards in hand, draw cards equal to the difference.",460
"Vorosh, the Hunter","FlyingWhenever Vorosh, the Hunter deals combat damage to a player, you may pay {2}{G}. If you do, put six +1/+1 counters on Vorosh.",503
Riddlekeeper,"Whenever a creature attacks you or a planeswalker you control, that creature’s controller mills two cards.",253
Slipstream Eel,"Slipstream Eel can’t attack unless defending player controls an Island.Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)",183
Scythe Specter,"FlyingWhenever Scythe Specter deals combat damage to a player, each opponent discards a card. Each player who discarded a card with the highest mana value among cards discarded this way loses life equal to that mana value.",196
Brawn,"TrampleAs long as Brawn is in your graveyard and you control a Forest, creatures you control have trample.",474
Desecrator Hag,"When Desecrator Hag enters the battlefield, return to your hand the creature card in your graveyard with the greatest power. If two or more cards are tied for greatest power, you choose one of them.",74
"Szadek, Lord of Secrets","FlyingIf Szadek, Lord of Secrets would deal combat damage to a player, instead put that many +1/+1 counters on Szadek and that player mills that many cards.",503
"Wrexial, the Risen Deep","Islandwalk, swampwalk (This creature can’t be blocked as long as defending player controls an Island or a Swamp.)Whenever Wrexial, the Risen Deep deals combat damage to a player, you may cast target instant or sorcery card from that player’s graveyard without paying its mana cost. If that spell would be put into a graveyard, exile it instead.",40
Triskelavus,"FlyingTriskelavus enters the battlefield with three +1/+1 counters on it.{1}, Remove a +1/+1 counter from Triskelavus: Create a 1/1 colorless Triskelavite artifact creature token with flying. It has “Sacrifice this creature: This creature deals 1 damage to any target.”",38
Angelic Arbiter,FlyingEach opponent who cast a spell this turn can’t attack with creatures.Each opponent who attacked with a creature this turn can’t cast spells.,261
Archangel of Strife,"FlyingAs Archangel of Strife enters the battlefield, each player chooses war or peace.Creatures controlled by players who chose war get +3/+0.Creatures controlled by players who chose peace get +0/+3.",472
Lightkeeper of Emeria,"Multikicker {W} (You may pay an additional {W} any number of times as you cast this spell.)FlyingWhen Lightkeeper of Emeria enters the battlefield, you gain 2 life for each time it was kicked.",472
Shattered Angel,"FlyingWhenever a land enters the battlefield under an opponent’s control, you may gain 3 life.",308
Dread Cacodemon,"When Dread Cacodemon enters the battlefield, if you cast it from your hand, destroy all creatures your opponents control, then tap all other creatures you control.",48
Razorjaw Oni,Black creatures can’t block.,44
Reiver Demon,"FlyingWhen Reiver Demon enters the battlefield, if you cast it from your hand, destroy all nonartifact, nonblack creatures. They can’t be regenerated.",223
Mana-Charged Dragon,"Flying, trampleJoin forces — Whenever Mana-Charged Dragon attacks or blocks, each player starting with you may pay any amount of mana. Mana-Charged Dragon gets +X/+0 until end of turn, where X is the total amount of mana paid this way.",46
Oni of Wild Places,"HasteAt the beginning of your upkeep, return a red creature you control to its owner’s hand.",28
Angel of Despair,"FlyingWhen Angel of Despair enters the battlefield, destroy target permanent.",366
"Basandra, Battle Seraph",FlyingPlayers can’t cast spells during combat.{R}: Target creature attacks this turn if able.,261
"Oros, the Avenger","FlyingWhenever Oros, the Avenger deals combat damage to a player, you may pay {2}{W}. If you do, Oros deals 3 damage to each nonwhite creature.",208
Boros Guildmage,{1}{R}: Target creature gains haste until end of turn.{1}{W}: Target creature gains first strike until end of turn.,490
Duergar Hedge-Mage,"When Duergar Hedge-Mage enters the battlefield, if you control two or more Mountains, you may destroy target artifact.When Duergar Hedge-Mage enters the battlefield, if you control two or more Plains, you may destroy target enchantment.",537
Gwyllion Hedge-Mage,"When Gwyllion Hedge-Mage enters the battlefield, if you control two or more Plains, you may create a 1/1 white Kithkin Soldier creature token.When Gwyllion Hedge-Mage enters the battlefield, if you control two or more Swamps, you may put a -1/-1 counter on target creature.",142
Orzhov Guildmage,{2}{W}: Target player gains 1 life.{2}{B}: Each player loses 1 life.,441
Banding Sliver,"All Slivers have banding. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature’s combat damage, not its controller, among any of the creatures it’s being blocked by or is blocking.)",322
Baneslayer Aspirant,"Baneslayer Aspirant gets +3/+3 and has flying, first strike, and lifelink as long as you have one or more emblems.",111
Five Kids in a Trenchcoat,Five Kids in a Trenchcoat counts as five creatures for spells and effects that count the number of creatures you control.,224
Frontier Explorer,"{3}, {T}: Until end of turn, you may play one basic Plains card from outside the game.",271
Metagamer,Cards in the winning deck(s) of the latest Mythic Championship cost {1} more to cast.,128
Priority Avenger,FlyingPlayers can’t cast instant spells unless a spell or ability is on the stack.,261
"Ruff, Underdog Champ","All Hounds are Dogs. (We’ll errata this to be true.)First strike, lifelinkUnderdog — If you’ve lost a game this match, Ruff, Underdog Champ and other Dogs you control get +1/+1.",515
Wizened Arbiter,"When Wizened Arbiter enters the battlefield, you may reveal a white card you own from outside the game. If you do, exchange that card with a card in your hand.",141
Biting Remark,"Scrycast {0} (If you see this card while scrying, you may reveal it and cast it by paying {0}.)Flying",419
Innocuous Insect,"Buyback {1}{U} (You may pay an additional {1}{U} as you cast this spell. If you do, put this card into your hand as it resolves.)FlashFlyingWhen you cast this spell, draw a card.",220
"Khod, Etlan Shiis Envoy","All lands are Islands in addition to their other types.Other Homarids, Camarids, Cephalids, Nautilids, and Merfolk you control get +1/+1.",424
Learned Learner,"As long as you have a maximum hand size other than 7, Learned Learner has “{T}: Draw a card.”",532
Recycla-bird,"FlyingWhen Recycla-bird dies, put a flying counter on target creature you control.",223
Squidnapper,"When Squidnapper enters the battlefield, gain control of target creature an opponent controls until Squidnapper leaves the battlefield or that player pays the ransom.Ransom — {6} and 2 life",536
Truth or Dare,"MenaceWhen Atris, Oracle of Half-Truths enters the battlefield, target opponent looks at the top three cards of your library and separates them into a face-down pile and a face-up pile. Put one pile into your hand and the other into your graveyard.",445
Visitor from Planet Q,"All creature cards you own with flash are instants in addition to their other types.Whenever you cast another spell with two or more card types, you may draw a card, then discard a card.",168
Blood Poet,"Spark (Activate spark abilities by spending or giving yourself spark counters. Activate only one spark ability per turn, and only as a sorcery.)+1: Blood Poet gains lifelink until end of turn.−3: Target opponent discards a card. You gain life equal to its converted mana cost.",16
Bone Rattler,"When Bone Rattler is put into your graveyard from anywhere, exile it. When you do, create four Reassembling Skeleton token cards and put them into your graveyard.",222
Buried Ogre,"You may begin the game with Buried Ogre in your graveyard. If you do, you lose 1 life.",25
Celestine Cave Witch,"When Celestine Cave Witch enters the battlefield, create two 1/1 black Insect creature tokens.Whenever Celestine Cave Witch attacks, you may sacrifice an Insect. When you do, curse defending player. (Create a black Aura Curse enchantment token that’s attached to that player. It has enchant player and “At the beginning of your upkeep, you lose 1 life.”)",530
Cyclopean Titan,"When Cyclopean Titan dies, two target lands become Swamps. Exile Cyclopean Titan.{3}, {T}: Tap target creature, then return Cyclopean Titan to its owner’s hand.",175
Frogkin Kidnapper,"When Frogkin Kidnapper enters the battlefield, target opponent reveals their hand. Choose a nonland card from it. Ransom that card. (Exile it. Its owner may pay {3} at any time to return it to their hand.)",536
Gunk Slug,"When Gunk Slug enters the battlefield, create three Gunk token cards and shuffle them into target opponent’s library. (Gunk is a colorless sorcery card with no mana cost that has cycling {4}.)",155
Swarm of Locus,"FlyingWhenever Swarm of Locus attacks, it gets +1/+0 until end of turn for each Locus you control.",433
Underdark Beholder,"Underdark Beholder enters the battlefield with ten eyestalk counters on it.If Underdark Beholder would be dealt damage, remove that many eyestalk counters from it instead. If you can’t, sacrifice it.Whenever Underdark Beholder attacks, reveal cards from the top of your library until you reveal an instant, sorcery, or enchantment card with converted mana cost less than the number of eyestalk counters on Underdark Beholder. You may cast it without paying its mana cost. Shuffle your library.",445
Witty Demon,"FlyingWhen Witty Demon enters the battlefield, if your starting library had at least 13 cards over the minimum, search your library for a card and put that card into your hand, then shuffle your library. Otherwise, Witty Demon deals 4 damage to you.",141
High Troller,All targeted spells and abilities cost {2} less and have their targets chosen randomly.,128
Impatient Iguana,"If Impatient Iguana is in your opening hand and you’re not the starting player, you may reveal it. If you do, you become the starting player.Haste",281
Lazier Goblin,"Motivate {3}{R} (This creature can’t attack or block unless you have paid its motivate cost once. Motivate only as a sorcery.)When Lazier Goblin enters the battlefield, it deals 2 damage to any target.",135
Lightning Colt,"When Lightning Colt enters the battlefield, it deals 3 damage to any target.",186
Queue of Beetles,"HasteThe stack is now first in, first out instead of last in, first out. (The first spell or ability on the stack is the first one to resolve.)",98
Red Herring,"HasteRed Herring attacks each combat if able.{2}, Sacrifice Red Herring: Draw a card.",109
Seasoned Weaponsmith,"Tasty (This creature can be attacked directly. If it is attacked, it can’t block creatures that didn’t attack it.)",477
Siege Elemental,TrampleUntapped creatures can’t block.Tapped creatures can block.,303
Geometric Weird,"At the beginning of each end step, you may have Geometric Weird’s base power and toughness each become equal to the greatest number of spells and abilities from different sources that were on the stack simultaneously that turn.",435
Bear with Set's Mechanic,"VigilanceAggressive (During your turn, there is an additional combat phase after the first, and only creatures with aggressive may attack during it.)",39
Domesticated Mammoth,Domesticated Mammoth enters the battlefield with a token copy of Pacifism attached to it.,191
Experiment Five,{1}{Z}: Put a +1/+2 counter on Experiment Five. ({Z} is paid with one mana from any source that could produce two or more colors of mana.),212
Frenemy of the Guildpact,"Protection from enemy-colored multicolored. (This creature can’t be blocked, targeted, dealt damage, enchanted, or equipped by anything that’s two enemy colors, such as blue and green.)",463
Inspirational Antelope,"Legacy — Before the game starts, choose a keyword or ability word and write it below.Spells with __________ you cast cost {1} less to cast.",128
Interplanar Brushwagg,"Interplanar (This creature enters onto the interplanar battlefield. Players can’t control creatures on the interplanar battlefield.)Vigilance, hasteWhenever a player attacks with a creature with power 4 or greater, Interplanar Brushwagg also attacks the player or planeswalker that creature is attacking.",12
Patient Turtle,Patient Turtle enters the battlefield with two +1/+1 counters on it if you didn’t go first this game.,349
Plane-Merge Elf,"Landship — At the beginning of your upkeep, you may look at the top card of your library. If it’s a land, you may reveal it. If you do, create a 1/1 green Elf Warrior creature token.Kinfall — Whenever a creature enters the battlefield under your control, if it shares a creature type with Plane-Merge Elf, creatures you control get +1/+1 until end of turn.",466
"Vazal, the Compleat","Megalegendary (Your deck can have only one copy of this card.)Vigilance, trampleVazal, the Compleat has the activated abilities of all other permanents on the battlefield.",248
Golgari Death Swarm,"Flying, vigilance",166
"Louvaq, the Aberrant","Protection from modified creatures (Modified creatures have a power, toughness, or ability different than their printed versions.)At the beginning of each player’s end step, you may put a +1/+1 counter on target creature that player controls.",368
"Sliv-Mizzet, Hivemind","Slivers you control have flying and “Whenever you draw a card, this creature deals 1 damage to any target” and “{T}: Draw a card.”",322
Start // Fire,"Sacrifice Goblin Firestarter: It deals 1 damage to any target. Activate only during your turn, before attackers are declared.",180
Slivdrazi Monstrosity,Eldrazi you control are Slivers in addition to their other types.Slivers you control have devoid and annihilator 1.{3}: Create a 1/1 colorless Eldrazi Sliver creature token. It has “Sacrifice this creature: Add {C}.”,473
"Zyym, Mesmeric Lord","Flying, deathtouchWhen Zyym, Mesmeric Lord enters the battlefield, target opponent chooses an order for the cards in their hand, then reveals them one by one until you say stop. That player then discards the most recently revealed card.",446
Chronobot,"When Chronobot enters the battlefield, switch upkeep steps with target opponent for as long as it remains on the battlefield. (You take your upkeep on their turn, and they take their upkeep on your turn.)",73
Puresteel Angel,"Flying, indestructibleWhen Puresteel Angel enters the battlefield, exile all artifacts that aren’t colorless.Whenever Puresteel Angel deals combat damage to a player, you get an emblem with “If you would lose the game, instead your life total becomes 20, shuffle your graveyard into your library, you lose all poison counters, and you lose this emblem.”",38
Weaponized Scrap,"Upgrade (This creature enters the battlefield covering another artifact you control. If it can’t, exile it. Ignore the artifact it’s covering. Anywhere this card goes, cards underneath it also go. It has haste.)",359
Jasconian Isle,"(Jasconian Isle isn’t a spell, it’s affected by summoning sickness, it’s blue, and it has “{T}: Add {U}.”)Jasconian Isle enters the battlefield tapped.Jasconian Isle doesn’t untap during your untap step.At the beginning of your upkeep, you may pay {U}{U}. If you do, untap Jasconian Isle.",507
Celestial Force,"{1}{W}, {T}: Tap target creature. Activate only if you control a creature with flying.",27
False Prophet,"When False Prophet dies, exile all creatures.",321
Jötun Grunt,"Cumulative upkeep—Put two cards from a single graveyard on the bottom of their owner’s library. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)",252
Monk Realist,"When Monk Realist enters the battlefield, destroy target enchantment.",289
Spurnmage Advocate,{T}: Return two target cards from an opponent’s graveyard to their hand. Destroy target attacking creature.,71
Gomazoa,"FlyingDormant Gomazoa enters the battlefield tapped.Dormant Gomazoa doesn’t untap during your untap step.Whenever you become the target of a spell, you may untap Dormant Gomazoa.",385
Trench Gorger,"TrampleWhen Trench Gorger enters the battlefield, you may search your library for any number of land cards, exile them, then shuffle. If you do, Trench Gorger has base power and base toughness each equal to the number of cards exiled this way.",32
Vedalken Plotter,"When Vedalken Plotter enters the battlefield, exchange control of target land you control and target land an opponent controls.",421
Avatar of Fury,"If an opponent controls seven or more lands, this spell costs {6} less to cast.Flying{R}: Avatar of Fury gets +1/+0 until end of turn.",199
Faultgrinder,"TrampleWhen Faultgrinder enters the battlefield, destroy target land.Evoke {4}{R} (You may cast this spell for its evoke cost. If you do, it’s sacrificed when it enters the battlefield.)",120
Goblin Cadets,"Whenever Goblin Cadets blocks or becomes blocked, target opponent gains control of it. (This removes Goblin Cadets from combat.)",324
Rapacious One,"TrampleWhenever Rapacious One deals combat damage to a player, create that many 0/1 colorless Eldrazi Spawn creature tokens. They have “Sacrifice this creature: Add {C}.”",473
Magus of the Vineyard,"At the beginning of each player’s precombat main phase, that player adds {G}{G}.",368
Penumbra Spider,"ReachWhen Penumbra Spider dies, create a 2/4 black Spider creature token with reach.",164
Spawnwrithe,"TrampleWhenever Spawnwrithe deals combat damage to a player, create a token that’s a copy of Spawnwrithe.",417
Squallmonger,{2}: Squallmonger deals 1 damage to each creature with flying and each player. Any player may activate this ability.,77
Symbiotic Wurm,"When Symbiotic Wurm dies, create seven 1/1 green Insect creature tokens.",530
Azorius Guildmage,{2}{W}: Tap target creature.{2}{U}: Counter target activated ability. (Mana abilities can’t be targeted.),226
Chorus of the Conclave,"Forestwalk (This creature can’t be blocked as long as defending player controls a Forest.)As an additional cost to cast creature spells, you may pay any amount of mana. If you do, that creature enters the battlefield with that many additional +1/+1 counters on it.",40
Dominus of Fealty,"FlyingAt the beginning of your upkeep, you may gain control of target permanent until end of turn. If you do, untap it and it gains haste until end of turn.",72
Nucklavee,"When Nucklavee enters the battlefield, you may return target red sorcery card from your graveyard to your hand.When Nucklavee enters the battlefield, you may return target blue instant card from your graveyard to your hand.",422
"Numot, the Devastator","FlyingWhenever Numot, the Devastator deals combat damage to a player, you may pay {2}{R}. If you do, destroy up to two target lands.",217
Plumeveil,"FlashDefender, flying",420
Ruhan of the Fomori,"At the beginning of combat on your turn, choose an opponent at random. Ruhan of the Fomori attacks that player this combat if able.",157
Selesnya Evangel,"{1}, {T}, Tap an untapped creature you control: Create a 1/1 green Saproling creature token.",142
Simic Sky Swallower,"Flying, trampleShroud (This creature can’t be the target of spells or abilities.)",3
The Prismatic Piper,"If The Prismatic Piper is your commander, choose a color before the game begins. The Prismatic Piper is the chosen color.Partner (You can have two commanders if both have partner.)",369
"Kozilek, the Great Distortion","When you cast this spell, if you have fewer than seven cards in hand, draw cards equal to the difference.MenaceDiscard a card with mana value X: Counter target spell with mana value X.",48
"Morophon, the Boundless","Changeling (This card is every creature type.)As Morophon, the Boundless enters the battlefield, choose a creature type.Spells of the chosen type you cast cost {W}{U}{B}{R}{G} less to cast. This effect reduces only the amount of colored mana you pay.Other creatures you control of the chosen type get +1/+1.",527
Pathrazer of Ulamog,"Annihilator 3 (Whenever this creature attacks, defending player sacrifices three permanents.)Pathrazer of Ulamog can’t be blocked except by three or more creatures.",516
Ulamog's Crusher,"Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)Ulamog’s Crusher attacks each combat if able.",386
"Alharu, Solemn Ritualist","When Alharu, Solemn Ritualist enters the battlefield, put a +1/+1 counter on each of up to two other target creatures.Whenever a nontoken creature you control with a +1/+1 counter on it dies, create a 1/1 white Spirit creature token with flying.Partner (You can have two commanders if both have partner.)",293
"Anafenza, Kin-Tree Spirit","Whenever another nontoken creature enters the battlefield under your control, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)",143
"Baird, Steward of Argive",VigilanceCreatures can’t attack you or planeswalkers you control unless their controller pays {1} for each of those creatures.,403
Custodi Squire,"FlyingWill of the council — When Custodi Squire enters the battlefield, starting with you, each player votes for an artifact, creature, or enchantment card in your graveyard. Return each card with the most votes or tied for most votes to your hand.",489
"Danitha Capashen, Paragon","First strike, vigilance, lifelinkAura and Equipment spells you cast cost {1} less to cast.",128
Gavony Silversmith,"When Gavony Silversmith enters the battlefield, put a +1/+1 counter on each of up to two target creatures.",431
"Heliod, Sun-Crowned","IndestructibleAs long as your devotion to white is less than five, Heliod isn’t a creature.Whenever you gain life, put a +1/+1 counter on target creature or enchantment you control.{1}{W}: Another target creature gains lifelink until end of turn.",206
"Keleth, Sunmane Familiar","Whenever a commander you control attacks, put a +1/+1 counter on it.Partner (You can have two commanders if both have partner.)",205
Knighted Myr,"{2}{W}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)Whenever one or more +1/+1 counters are put on Knighted Myr, it gains double strike until end of turn.",479
"Mangara, the Diplomat","LifelinkWhenever an opponent attacks with creatures, if two or more of those creatures are attacking you and/or planeswalkers you control, draw a card.Whenever an opponent casts their second spell each turn, draw a card.",16
Ministrant of Obligation,"Afterlife 2 (When this creature dies, create two 1/1 white and black Spirit creature tokens with flying.)",30
Palace Jailer,"When Palace Jailer enters the battlefield, you become the monarch.When Palace Jailer enters the battlefield, exile target creature an opponent controls until an opponent becomes the monarch.",75
Palace Sentinels,"When Palace Sentinels enters the battlefield, you become the monarch.",75
"Pianna, Nomad Captain","Whenever Pianna, Nomad Captain attacks, attacking creatures get +1/+1 until end of turn.",23
"Sephara, Sky's Blade","You may pay {W} and tap four untapped creatures you control with flying rather than pay this spell’s mana cost.Flying, lifelinkOther creatures you control with flying have indestructible. (Damage and effects that say “destroy” don’t destroy them.)",338
Sunblade Angel,"Flying, first strike, vigilance, lifelink",81
